"LUTON (SUNDON PARK)",,,,,,,,,,,,
Grid ref,TL052254,Long,-0.471831,Lat,51.917200,,,,,,,
Station no,1162/5/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,3.01,2.56,,
February,,,,,,,,2.62,0.10,2.41,,
March,,,,,,,,1.82,2.08,1.82,,
April,,,,,,,,1.20,2.31,0.63,,
May,,,,,,,,1.67,0.77,1.81,,
June,,,,,,,,4.40,0.96,1.74,,
July,,,,,,,,2.28,3.21,3.47,,
August,,,,,,,,2.22,0.79,3.72,,
September,,,,,,,,3.44,0.15,3.55,,
October,,,,,,,,2.35,1.78,4.72,,
November,,,,,,,,1.88,2.11,4.21,,
December,,,,,,,,2.53,3.57,3.46,,
Total,,,,,,,,,20.84,34.10,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.41,20.84,34.10,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
