"ALLT A MHOIRNEAS",,,,,,,,,,,,
Grid ref,NN604383,Long,-4.270420,Lat,56.515964,,,,,,,
Station no,5556/5/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.79,5.30,,
February,,,,,,,,,4.02,4.74,,
March,,,,,,,,1.99,4.42,3.10,,
April,,,,,,,,3.05,5.84,6.68,,
May,,,,,,,,5.14,2.05,4.76,,
June,,,,,,,,4.13,3.41,3.78,,
July,,,,,,,,6.24,5.79,4.04,,
August,,,,,,,,7.79,3.83,5.35,,
September,,,,,,,,8.09,1.82,4.35,,
October,,,,,,,,6.29,7.54,5.13,,
November,,,,,,,,1.79,11.22,6.61,,
December,,,,,,,,8.83,11.81,9.04,,
Total,,,,,,,,,64.54,62.88,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.34,64.54,62.88,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
