"EAST HARPTREE (COLEY)",,,,,,,,,,,,
Grid ref,ST581566,Long,-2.602470,Lat,51.306966,,,,,,,
Station no,1969/2/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,3.87,3.79,5.22,4.26,,
February,,,,,,,4.46,4.65,0.36,3.77,,
March,,,,,,,3.02,1.50,4.44,2.35,,
April,,,,,,,0.13,1.66,3.26,2.45,,
May,,,,,,,2.74,3.28,0.90,1.40,,
June,,,,,,,2.16,2.89,1.79,4.07,,
July,,,,,,,5.38,2.61,2.35,5.77,,
August,,,,,,,5.21,5.86,1.19,4.83,,
September,,,,,,,5.20,6.25,0.15,4.43,,
October,,,,,,,3.47,3.75,3.76,7.60,,
November,,,,,,,1.91,2.63,5.72,5.89,,
December,,,,,,,3.56,5.82,10.27,5.77,,
Total,,,,,,,41.11,44.69,39.41,52.59,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,41.11,44.69,39.41,52.59,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
