"FALLOWFIELD (PLATT FIELDS PARK)",,,,,,,,,,,,
Grid ref,SJ852943,Long,-2.224292,Lat,53.445257,,,,,,,
Station no,2932,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.22,3.13,1.30,3.24,1.98,4.67,1.93,2.77,2.21,4.43,,
February,2.31,1.35,1.54,2.28,1.65,0.95,2.31,4.18,0.26,2.16,,
March,4.47,2.30,1.91,2.68,1.96,0.98,2.89,2.39,1.58,0.69,,
April,2.37,2.98,2.38,0.73,1.72,3.20,0.44,0.84,2.70,1.46,,
May,1.77,1.63,1.81,2.76,2.86,1.09,1.18,2.79,0.94,1.80,,
June,1.71,2.45,2.57,2.93,3.06,2.18,1.81,5.02,2.36,2.08,,
July,3.42,2.93,4.20,4.88,0.85,4.77,4.53,5.05,2.54,4.67,,
August,4.85,2.23,4.11,4.99,0.96,8.95,3.69,5.32,0.29,5.16,,
September,3.08,3.12,2.70,3.89,2.50,2.45,5.39,4.28,0.18,3.54,,
October,1.10,3.47,2.14,5.74,1.75,2.30,3.21,2.53,2.78,3.16,,
November,6.57,2.17,3.15,4.92,1.63,1.33,1.54,1.35,3.57,5.13,,
December,5.51,3.19,1.33,4.27,4.33,2.89,3.09,2.97,4.32,2.93,,
Total,40.38,30.95,29.14,43.31,25.25,35.76,32.01,39.49,23.73,37.21,,
Calc annual,40.38,30.95,29.14,43.31,25.25,35.76,32.01,39.49,23.73,37.21,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
