"BAYFORDBURY",,,,,,,,,,,,
Grid ref,TL315103,Long,-0.095380,Lat,51.775929,,,,,,,
Station no,948/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.85,0.79,0.88,2.11,3.41,1.00,2.24,2.37,2.11,,
February,,0.53,1.67,2.24,1.48,0.51,2.92,2.56,0.09,1.75,,
March,,2.44,0.38,2.21,1.17,0.87,1.14,1.19,1.99,1.27,,
April,,1.60,2.50,0.24,0.46,1.15,0.22,1.04,2.44,0.45,,
May,2.43,1.29,1.25,1.90,4.41,0.61,0.63,2.59,0.85,1.30,,
June,1.12,1.32,1.73,3.49,1.88,2.92,1.99,4.80,1.26,1.56,,
July,0.75,0.63,3.40,2.44,1.30,3.55,2.97,2.26,2.20,2.50,,
August,4.36,5.35,1.45,2.77,1.55,5.30,2.11,2.62,1.11,2.61,,
September,3.19,2.48,2.09,1.51,1.53,1.86,3.13,3.06,0.07,5.27,,
October,0.67,2.40,2.95,1.96,3.48,2.18,1.66,2.85,2.10,5.47,,
November,4.50,3.57,1.24,4.14,0.95,0.64,2.04,1.78,2.38,3.25,,
December,1.75,2.29,0.45,1.48,1.93,3.44,2.15,2.90,4.25,2.80,,
Total,,25.75,19.90,25.26,22.25,26.44,21.96,29.89,21.11,30.34,,
Calc annual,18.77,25.75,19.90,25.26,22.25,26.44,21.96,29.89,21.11,30.34,,
Difference,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
