"WIGGENHALL (ST GERMANS)",,,,,,,,,,,,
Grid ref,TF599139,Long,0.364899,Lat,52.699165,,,,,,,
Station no,1469/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.10,2.85,2.92,,
February,,,,,,,,3.40,0.17,1.34,,
March,,,,,,,,0.93,1.59,0.29,,
April,,,,,,,,0.66,0.61,0.34,,
May,,,,,,,,2.94,0.50,0.61,,
June,,,,,,,,3.62,0.75,2.29,,
July,,,,,,,,2.92,1.94,2.32,,
August,,,,,,,,3.76,1.26,2.66,,
September,,,,,,,,2.69,0.00,2.22,,
October,,,,,,,,1.91,1.67,4.41,,
November,,,,,,,,1.20,1.12,3.78,,
December,,,,,,,,2.60,3.88,3.94,,
Total,,,,,,,,28.73,16.34,27.12,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.73,16.34,27.12,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
