"PORTLAND BILL LIGHTHOUSE",,,,,,,,,,,,
Grid ref,SY677684,Long,-2.456920,Lat,50.514492,,,,,,,
Station no,1550,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.38,,0.70,1.43,3.21,4.59,2.72,2.99,3.98,3.14,,
February,6.11,,1.49,2.93,2.27,0.09,4.21,2.62,0.33,2.55,,
March,3.48,,0.40,3.53,1.44,0.57,2.22,1.11,2.83,1.67,,
April,2.15,,1.92,0.10,0.74,1.55,0.51,0.40,1.77,2.15,,
May,2.58,2.19,2.79,1.29,2.74,0.93,1.43,1.45,0.60,1.59,,
June,,0.95,1.33,2.39,2.48,1.72,0.97,2.33,0.57,1.67,,
July,,0.86,2.66,2.70,5.00,1.90,3.44,2.18,1.26,2.41,,
August,3.21,1.83,1.25,2.41,1.20,2.67,1.93,1.89,1.13,4.39,,
September,2.36,5.35,2.18,2.30,1.15,4.28,2.75,4.26,0.02,4.35,,
October,0.35,3.86,3.36,2.02,5.09,2.08,2.63,2.62,2.82,8.39,,
November,,3.69,1.52,4.60,2.26,0.75,2.03,2.89,5.18,5.67,,
December,,2.77,0.58,3.12,5.12,4.17,2.41,4.81,6.24,3.36,,
Total,,,20.18,28.82,32.70,25.30,27.25,29.55,26.73,41.34,,
Calc annual,23.62,21.50,20.18,28.82,32.70,25.30,27.25,29.55,26.73,41.34,,
Difference,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
