"RHUM (KILMORY)",,,,,,,,,,,,
Grid ref,NG362038,Long,-6.351527,Lat,57.049521,,,,,,,
Station no,5753/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,10.70,4.50,5.20,,
February,,,,,,,,4.35,5.95,6.60,,
March,,,,,,,,1.70,6.40,2.55,,
April,,,,,,,,2.85,5.05,6.80,,
May,,,,,,,,4.65,1.25,2.95,,
June,,,,,,,,2.85,4.95,4.20,,
July,,,,,,,,2.00,11.75,3.64,,
August,,,,,,,,3.90,4.60,3.70,,
September,,,,,,,,5.65,4.35,6.65,,
October,,,,,,,,8.20,9.70,1.30,,
November,,,,,,,4.53,5.45,11.05,8.95,,
December,,,,,,,9.20,6.75,14.65,11.60,,
Total,,,,,,,,59.05,84.20,64.14,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,13.73,59.05,84.20,64.14,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
