"ESKDALEMUIR (JOHNSTONE HOUSE)",,,,,,,,,,,,
Grid ref,NT246001,Long,-3.188801,Lat,55.289224,,,,,,,
Station no,5040/7/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.46,5.74,2.64,5.23,5.93,3.86,9.11,5.65,3.67,7.12,,
February,4.27,1.32,1.47,3.85,2.56,1.75,4.23,5.35,2.02,9.37,,
March,4.69,3.67,0.95,4.83,2.96,2.66,4.62,2.47,3.75,2.13,,
April,4.92,3.34,4.25,1.41,2.74,0.86,2.36,2.24,4.06,5.99,,
May,2.19,2.55,2.79,6.62,3.92,3.84,2.16,4.41,2.88,2.98,,
June,2.21,4.36,4.33,5.79,3.27,3.29,1.56,3.17,3.76,4.00,,
July,4.38,3.42,9.80,6.04,2.68,6.26,4.48,6.73,4.88,5.49,,
August,6.87,4.63,4.20,5.63,1.50,8.11,6.29,5.90,0.91,5.32,,
September,6.57,2.17,5.14,8.59,4.20,4.19,4.04,5.74,1.66,3.33,,
October,0.59,4.83,2.82,12.28,3.18,4.38,7.68,4.40,6.46,2.73,,
November,10.47,3.78,8.52,10.30,1.93,2.10,2.18,1.88,9.85,6.97,,
December,10.13,5.79,4.09,6.97,7.34,7.41,5.25,5.19,9.25,6.19,,
Total,64.75,45.60,51.00,77.54,42.21,48.71,53.96,53.13,53.15,61.62,,
Calc annual,64.75,45.60,51.00,77.54,42.21,48.71,53.96,53.13,53.15,61.62,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
