"GLEN MUICK (INCHNABOBART)",,,,,,,,,,,,
Grid ref,NO310876,Long,-3.136687,Lat,56.974438,,,,,,,
Station no,5626/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.07,2.57,1.17,3.50,2.85,5.04,5.04,4.72,4.27,5.00,,
February,4.92,1.15,1.36,4.12,6.30,2.45,5.00,4.50,0.54,4.91,,
March,2.69,4.02,0.51,3.51,3.76,2.36,3.09,4.72,3.15,2.00,,
April,4.12,1.53,3.77,1.55,0.88,1.79,1.80,3.02,3.99,4.01,,
May,2.53,2.98,3.33,6.14,3.72,1.18,2.14,3.46,1.22,1.77,,
June,1.51,2.53,4.62,1.75,1.03,3.35,3.04,2.62,2.13,1.42,,
July,2.72,1.89,4.59,2.60,0.88,4.80,6.02,5.54,3.83,4.05,,
August,6.42,3.10,1.93,3.01,0.74,5.66,4.74,4.07,1.37,6.14,,
September,2.35,2.37,4.23,3.26,1.75,5.01,2.72,4.22,0.72,3.65,,
October,1.47,7.04,,5.75,3.00,2.97,1.62,2.88,5.29,9.57,,
November,12.85,3.28,,10.90,2.39,2.03,3.21,1.02,8.77,5.63,,
December,4.82,4.45,,6.83,7.97,9.61,6.36,5.37,9.72,2.91,,
Total,50.47,36.91,,52.92,35.27,46.25,44.78,46.14,45.00,51.06,,
Calc annual,50.47,36.91,25.51,52.92,35.27,46.25,44.78,46.14,45.00,51.06,,
Difference,-0.00,-0.00,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
