"MAIDENHEAD RES",,,,,,,,,,,,
Grid ref,SU874808,Long,-0.741738,Lat,51.519368,,,,,,,
Station no,782/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,2.05,2.95,2.88,2.41,,
February,,,,,,,3.35,3.27,0.09,1.88,,
March,,,,,,,0.97,1.87,2.37,1.23,,
April,,,,,,,0.25,1.12,2.60,0.57,,
May,,,,,,,1.34,1.67,0.47,1.88,,
June,,,,,,,1.22,4.12,2.15,1.59,,
July,,,,,,,3.39,2.65,3.24,3.29,,
August,,,,,,,2.14,4.03,1.51,3.18,,
September,,,,,,,2.63,4.25,0.20,2.74,,
October,,,,,,,1.85,2.91,2.63,6.98,,
November,,,,,,,2.21,2.23,2.32,3.42,,
December,,,,,,,1.85,2.92,3.51,2.95,,
Total,,,,,,,23.25,33.49,23.97,33.12,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,23.25,33.99,23.97,32.12,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.50,0.00,1.00,,
