"ASHFORD (ALBERT ROAD)",,,,,,,,,,,,
Grid ref,TR009430,Long,0.871187,Lat,51.150987,,,,,,,
Station no,278,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.60,2.82,1.69,1.75,3.90,4.86,2.28,3.90,2.60,4.17,,
February,6.36,1.35,2.24,2.41,2.25,1.95,4.80,3.76,0.04,2.20,,
March,3.84,3.81,0.23,3.28,2.23,0.79,1.21,1.70,1.90,1.73,,
April,1.92,1.52,1.59,0.35,0.31,0.81,0.45,1.64,2.57,0.73,,
May,2.21,1.24,1.49,1.79,4.32,0.46,1.25,2.18,0.76,1.75,,
June,1.53,1.33,2.92,3.07,1.86,2.57,0.96,4.44,2.26,1.10,,
July,1.43,0.59,2.54,3.76,1.04,2.20,3.05,1.78,2.40,2.47,,
August,4.13,3.53,2.11,3.54,2.28,3.14,2.93,4.56,1.18,5.11,,
September,3.60,4.37,3.76,2.30,1.56,2.39,3.72,3.42,0.15,2.56,,
October,2.30,2.84,3.11,2.16,6.34,1.20,1.32,4.66,3.01,7.40,,
November,5.16,3.86,1.72,5.73,1.44,0.94,4.31,2.12,4.26,6.00,,
December,3.31,3.26,1.12,1.80,3.09,3.41,1.90,4.31,6.90,4.51,,
Total,39.39,30.52,24.52,31.94,30.62,24.72,28.18,38.47,28.03,39.73,,
Calc annual,39.39,30.52,24.52,31.94,30.62,24.72,28.18,38.47,28.03,39.73,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
