"BORROWDALE (THE MORAINE)",,,,,,,,,,,,
Grid ref,NY256143,Long,-3.150852,Lat,54.518510,,,,,,,
Station no,3633,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.59,9.04,6.05,11.80,9.05,6.50,13.52,9.62,6.42,12.13,,
February,9.08,2.19,4.23,10.20,2.76,2.07,7.60,10.62,3.65,10.11,,
March,6.24,5.51,0.93,11.00,2.83,4.09,7.73,1.94,7.39,3.41,,
April,7.59,5.69,,2.56,4.91,1.86,3.05,3.46,7.12,8.75,,
May,2.13,5.39,,5.99,8.04,5.91,4.67,7.37,1.89,4.02,,
June,2.09,5.11,,9.96,5.89,3.68,3.49,4.81,6.38,5.06,,
July,4.86,6.06,,10.03,4.23,9.41,8.01,4.80,8.36,10.09,,
August,8.60,13.96,,7.61,4.62,13.58,9.65,8.40,1.92,4.83,,
September,10.89,6.76,,16.72,7.32,6.81,9.94,10.76,1.71,5.24,,
October,1.88,8.50,,24.04,6.29,9.21,11.99,12.20,14.13,5.09,,
November,16.86,5.88,,21.89,3.64,3.91,3.16,1.96,14.75,20.51,,
December,19.10,7.52,,15.75,14.87,14.83,12.37,7.19,20.79,9.83,,
Total,98.91,81.61,,147.55,74.45,81.86,95.18,83.13,94.51,99.07,,
Calc annual,98.91,81.61,11.21,147.55,74.45,81.86,95.18,83.13,94.51,99.07,,
Difference,0.00,0.00,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
