"BRANSDALE (MOOR HOUSES)",,,,,,,,,,,,
Grid ref,SE633947,Long,-1.027793,Lat,54.343930,,,,,,,
Station no,3465/1/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.32,2.31,5.32,,
February,,,,,,,,3.63,0.56,2.90,,
March,,,,,,,,3.93,1.47,0.92,,
April,,,,,,,,1.70,2.95,1.05,,
May,,,,,,,1.78,3.11,0.64,2.01,,
June,,,,,,,1.93,3.52,1.53,0.79,,
July,,,,,,,4.37,2.98,1.95,5.76,,
August,,,,,,,5.06,2.91,0.65,1.67,,
September,,,,,,,4.74,2.32,0.64,3.31,,
October,,,,,,,2.75,2.24,2.45,7.89,,
November,,,,,,,2.69,1.10,5.71,4.12,,
December,,,,,,,2.11,3.76,6.19,3.79,,
Total,,,,,,,,34.52,27.05,39.53,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,25.43,34.52,27.05,39.53,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
