"BERE REGIS (BARROW HILL)",,,,,,,,,,,,
Grid ref,SY846950,Long,-2.219677,Lat,50.754390,,,,,,,
Station no,1598,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.15,2.37,,,,,,,,,,
February,5.83,0.44,,,,,,,,,,
March,4.10,3.02,,,,,,,,,,
April,2.60,1.96,,,,,,,,,,
May,2.64,2.80,,,,,,,,,,
June,0.55,1.25,,,,,,,,,,
July,1.06,0.69,,,,,,,,,,
August,5.19,3.77,,,,,,,,,,
September,4.71,4.24,,,,,,,,,,
October,1.18,,,,,,,,,,,
November,9.52,,,,,,,,,,,
December,3.32,,,,,,,,,,,
Total,44.85,,,,,,,,,,,
Calc annual,44.85,20.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
