"LOCH CARRON",,,,,,,,,,,,
Grid ref,NG897395,Long,-5.501666,Lat,57.397133,,,,,,,
Station no,5790/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,6.40,7.44,4.80,6.91,10.29,,,,,
February,,,4.84,4.98,4.42,5.77,4.76,,,,,
March,,,3.20,4.34,2.05,2.33,5.69,,,,,
April,,,6.81,3.33,5.09,4.02,3.80,,,,,
May,,4.08,4.78,3.13,3.84,5.45,1.63,,,,,
June,,4.90,1.39,5.24,4.11,2.83,,,,,,
July,,5.01,7.20,5.15,1.42,6.03,,,,,,
August,,6.83,7.17,4.33,1.62,5.83,,,,,,
September,,7.88,7.57,10.80,8.05,3.91,,,,,,
October,,7.75,4.75,12.01,11.07,9.04,,,,,,
November,,6.60,11.51,8.45,4.03,10.43,,,,,,
December,,10.06,8.22,11.96,9.39,11.79,,,,,,
Total,,,73.84,81.16,59.89,74.34,,,,,,
Calc annual,0.00,53.11,73.84,81.16,59.89,74.34,26.17,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
