"STONYHURST COLLEGE",,,,,,,,,,,,
Grid ref,SD692388,Long,-2.469602,Lat,53.844522,,,,,,,
Station no,2978,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.09,5.43,2.34,5.63,3.26,4.59,4.27,3.53,3.18,5.78,,
February,3.82,1.80,1.80,2.79,1.72,0.98,2.98,8.96,0.78,2.64,,
March,4.51,2.22,1.68,2.84,1.49,1.47,3.91,1.66,1.67,1.13,,
April,2.62,3.66,3.40,1.47,3.22,1.65,0.75,1.83,2.50,2.60,,
May,1.63,2.83,2.46,2.45,3.57,2.33,2.16,5.86,2.49,1.78,,
June,1.37,3.94,1.70,4.07,3.44,2.42,1.99,4.61,3.40,1.35,,
July,3.93,3.46,7.61,8.07,1.06,5.96,6.05,4.61,4.47,9.86,,
August,5.27,7.62,6.47,7.51,1.03,11.57,6.66,5.02,0.55,6.22,,
September,3.18,5.13,5.83,7.14,3.71,4.86,8.32,4.95,0.55,3.13,,
October,1.27,3.53,1.86,9.19,3.65,3.60,8.13,4.29,5.74,3.32,,
November,9.42,2.46,5.87,6.35,1.74,2.27,1.79,1.86,5.15,8.23,,
December,12.57,5.27,2.48,6.71,7.05,4.84,6.87,3.61,6.97,5.45,,
Total,54.68,47.35,43.50,64.22,34.94,46.54,53.88,50.79,37.45,51.49,,
Calc annual,54.68,47.35,43.50,64.22,34.94,46.54,53.88,50.79,37.45,51.49,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
