"DURNESS (KEOLDALE)",,,,,,,,,,,,
Grid ref,NC381662,Long,-4.784196,Lat,58.553634,,,,,,,
Station no,5803/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,4.89,6.94,4.12,,
February,,,,,,,,3.88,1.89,3.16,,
March,,,,,,,,2.26,2.40,1.11,,
April,,,,,,,,2.38,4.19,2.52,,
May,,,,,,,,6.25,2.25,0.90,,
June,,,,,,,4.38,1.56,4.28,2.84,,
July,,,,,,,5.30,1.24,5.75,2.75,,
August,,,,,,,6.16,3.68,2.94,4.31,,
September,,,,,,,3.76,1.44,2.15,1.86,,
October,,,,,,,7.97,5.59,5.77,2.13,,
November,,,,,,,4.15,2.46,4.43,2.57,,
December,,,,,,,7.58,4.63,4.33,5.07,,
Total,,,,,,,,40.26,47.32,33.34,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,39.30,40.26,47.32,33.34,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
