"HATFIELD (BROAD OAKS SCHOOL)",,,,,,,,,,,,
Grid ref,TL231089,Long,-0.217563,Lat,51.765257,,,,,,,
Station no,945/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.40,1.96,,
February,,,,,,,,,0.06,1.94,,
March,,,,,,,,,2.13,1.53,,
April,,,,,,,,,2.47,0.63,,
May,,,,,,,,2.31,1.30,1.63,,
June,,,,,,,,3.95,1.20,1.37,,
July,,,,,,,,1.55,2.76,2.59,,
August,,,,,,,,2.91,1.17,2.75,,
September,,,,,,,,2.90,0.07,3.53,,
October,,,,,,,,2.23,1.83,5.56,,
November,,,,,,,,2.26,2.29,4.00,,
December,,,,,,,,2.88,4.05,3.10,,
Total,,,,,,,,,21.73,30.59,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.99,21.73,30.59,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
