"ALCESTER (SURVEYOR'S OFFICE)",,,,,,,,,,,,
Grid ref,SP092579,Long,-1.866752,Lat,52.219236,,,,,,,
Station no,2447/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.42,1.55,0.84,0.95,2.61,3.05,1.33,2.32,4.28,4.98,,
February,2.52,0.51,1.12,2.14,1.08,0.59,2.41,3.31,0.09,1.54,,
March,4.04,2.28,1.03,2.06,2.12,0.73,2.28,1.33,2.05,0.81,,
April,2.78,2.01,1.88,0.58,1.39,0.96,0.15,0.64,2.98,0.96,,
May,3.65,2.61,1.51,1.76,4.09,0.57,1.41,2.90,1.07,1.49,,
June,1.16,1.77,1.39,3.13,2.85,2.46,1.62,3.81,0.46,3.04,,
July,1.31,0.30,3.87,3.53,0.26,2.18,3.47,3.38,1.11,3.42,,
August,4.66,5.06,3.45,4.17,0.35,5.08,4.72,2.89,1.22,4.28,,
September,1.88,1.19,2.41,2.05,0.86,2.54,3.53,4.26,0.11,4.45,,
October,1.02,4.70,1.80,2.92,1.34,1.61,1.19,2.76,2.45,4.53,,
November,6.95,2.39,1.20,4.38,1.90,0.66,1.95,2.58,2.30,3.53,,
December,1.75,2.42,0.80,1.63,2.12,3.01,1.58,2.93,3.86,2.77,,
Total,34.14,26.79,21.30,29.30,20.97,23.44,25.64,33.11,21.98,35.80,,
Calc annual,34.14,26.79,21.30,29.30,20.97,23.44,25.64,33.11,21.98,35.80,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
