"MARKET BOSWORTH (GRAMMAR SCHOOL)",,,,,,,,,,,,
Grid ref,SK405032,Long,-1.403136,Lat,52.625058,,,,,,,
Station no,2505/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,1.57,,,,2.51,4.60,,
February,,,,,1.79,,,,0.07,1.21,,
March,,,,,2.08,,,,1.70,1.13,,
April,,,,,0.98,,,,2.85,1.07,,
May,,,,,3.35,,,,0.30,1.34,,
June,,,,,2.34,,,,0.83,3.33,,
July,,,,,0.77,,,,1.10,3.29,,
August,,,,,0.50,,,,0.89,3.92,,
September,,,,3.04,1.55,,,,0.13,3.69,,
October,,,,4.23,1.45,,,,2.15,4.13,,
November,,,,2.07,1.88,,,,2.97,2.74,,
December,,,,,1.50,,,,3.57,2.35,,
Total,,,,,19.76,,,,19.07,32.80,,
Calc annual,0.00,0.00,0.00,9.34,19.76,0.00,0.00,0.00,19.07,32.80,,
Difference,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,-0.00,,
