"LOCH TURRET (LOWER BARWICK)",,,,,,,,,,,,
Grid ref,NN843263,Long,-3.876927,Lat,56.414703,,,,,,,
Station no,5545/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,8.60,4.40,2.10,7.00,,
February,,,,,,,4.90,2.80,1.95,8.00,,
March,,,,,,,5.75,3.10,4.00,3.70,,
April,,,,,,,1.95,1.90,3.60,5.00,,
May,,,,,,,3.10,3.95,1.50,3.90,,
June,,,,,,,2.30,4.10,2.55,2.75,,
July,,,,,,,5.10,4.85,5.50,4.75,,
August,,,,,,,5.90,4.70,1.80,6.35,,
September,,,,,,,3.60,6.10,1.20,5.45,,
October,,,,,,,3.10,4.35,5.55,7.60,,
November,,,,,,1.55,3.20,1.75,8.10,8.50,,
December,,,,,,8.80,6.50,7.50,7.90,5.25,,
Total,,,,,,,54.00,49.50,45.75,68.25,,
Calc annual,0.00,0.00,0.00,0.00,0.00,10.35,54.00,49.50,45.75,68.25,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
