"THORNTON HEATH (GRANGE PARK RD)",,,,,,,,,,,,
Grid ref,TQ318684,Long,-0.106752,Lat,51.399330,,,,,,,
Station no,106/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.07,1.76,1.04,,,,,,,,,
February,7.03,1.04,1.18,,,,,,,,,
March,2.68,2.74,0.50,,,,,,,,,
April,2.48,1.19,2.30,,,,,,,,,
May,2.14,2.27,1.74,,,,,,,,,
June,0.89,1.83,1.72,,,,,,,,,
July,1.95,0.68,3.25,,,,,,,,,
August,2.89,2.47,1.39,,,,,,,,,
September,3.15,3.51,2.79,,,,,,,,,
October,0.94,2.49,3.81,,,,,,,,,
November,5.13,3.15,1.16,,,,,,,,,
December,2.25,2.12,0.63,,,,,,,,,
Total,34.60,25.25,21.51,,,,,,,,,
Calc annual,34.60,25.25,21.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
