"ABERDARE (NANTHIR RESERVOIR)",,,,,,,,,,,,
Grid ref,SN989068,Long,-3.465951,Lat,51.750740,,,,,,,
Station no,4145,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.47,6.37,1.95,3.90,4.32,8.51,8.53,6.25,8.46,7.63,,
February,7.16,1.63,2.14,5.69,2.71,0.86,9.02,9.55,0.54,8.51,,
March,5.81,3.48,4.43,5.23,3.94,3.65,7.08,1.36,6.32,2.58,,
April,4.20,4.23,3.84,1.13,2.85,1.49,0.32,1.51,6.00,5.23,,
May,3.00,4.47,3.35,3.85,6.38,1.76,2.87,5.10,1.79,1.65,,
June,1.48,4.17,2.85,5.83,6.59,3.95,1.52,5.26,2.95,3.82,,
July,1.71,2.79,6.42,4.83,0.74,5.44,5.85,5.01,5.06,6.85,,
August,8.56,6.86,4.52,5.71,1.25,6.13,4.90,5.21,1.00,5.84,,
September,6.14,2.14,6.65,7.21,2.61,6.38,9.53,10.32,0.36,5.60,,
October,1.93,6.16,4.54,8.54,4.61,2.44,5.44,8.30,7.44,8.08,,
November,11.09,3.82,5.31,11.79,6.33,2.72,3.33,2.67,10.92,16.22,,
December,6.80,5.18,1.73,5.00,9.10,9.17,5.79,6.80,15.60,8.18,,
Total,66.35,51.30,47.73,68.71,51.43,52.50,64.18,67.34,66.44,80.19,,
Calc annual,66.35,51.30,47.73,68.71,51.43,52.50,64.18,67.34,66.44,80.19,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
