"GLENDEVON (BROICH BURN) NO. 2",,,,,,,,,,,,
Grid ref,NN914035,Long,-3.752504,Lat,56.211647,,,,,,,
Station no,5461,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.58,3.45,3.15,5.25,3.85,,,,,,,
February,5.12,1.49,3.85,5.27,1.78,,,,,,,
March,4.72,6.45,3.08,6.15,1.98,,,,,,,
April,6.35,4.15,4.15,2.33,3.75,,,,,,,
May,2.75,2.35,4.95,8.09,5.95,,,,,,,
June,5.15,6.03,2.97,4.78,3.75,,,,,,,
July,6.95,4.20,8.75,3.98,-999.00,,,,,,,
August,9.95,6.85,4.23,5.98,-999.00,,,,,,,
September,5.89,4.93,7.85,8.54,-999.00,,,,,,,
October,1.88,7.10,5.23,11.83,-999.00,,,,,,,
November,11.45,3.78,9.53,12.65,-999.00,,,,,,,
December,11.36,6.95,8.15,10.78,-999.00,,,,,,,
Total,78.15,57.73,65.89,85.63,-999.00,,,,,,,
Calc annual,78.15,57.73,65.89,85.63,21.06,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,-1020.06,NaN,NaN,NaN,NaN,NaN,,
