"SIMONSBATH (LODGE)",,,,,,,,,,,,
Grid ref,SS761392,Long,-3.772392,Lat,51.138624,,,,,,,
Station no,2116/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,1.83,,
June,,,,,,,,,,3.34,,
July,,,,,,,,,,10.29,,
August,,,,,,,,,,7.42,,
September,,,,,,,,,,6.11,,
October,,,,,,,,,,11.11,,
November,,,,,,,,,,13.92,,
December,,,,,,,,,,13.30,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.32,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
