"FARLINGTON (PUMP STN)",,,,,,,,,,,,
Grid ref,SU678058,Long,-1.038306,Lat,50.847757,,,,,,,
Station no,681,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.30,2.39,1.13,2.28,3.56,4.57,2.33,4.59,3.52,4.30,,
February,5.72,0.68,1.35,3.06,1.68,0.09,4.45,2.67,0.18,3.53,,
March,4.53,2.93,0.46,3.34,1.37,0.37,1.98,1.30,2.58,1.71,,
April,2.75,1.60,1.50,0.23,0.45,2.02,0.20,0.72,2.09,0.88,,
May,2.37,2.37,2.43,2.65,4.20,0.28,0.96,2.51,0.36,1.23,,
June,1.64,1.23,2.84,3.13,2.71,2.21,1.57,3.07,0.71,2.25,,
July,2.02,0.31,4.00,3.92,1.78,2.55,3.81,3.27,2.87,3.74,,
August,4.61,2.32,1.75,3.35,1.41,3.43,2.22,5.00,4.07,5.76,,
September,2.93,3.88,2.74,2.80,2.03,3.08,3.32,4.57,0.20,5.05,,
October,1.36,4.02,3.80,2.40,2.61,1.65,1.96,2.40,3.10,7.39,,
November,8.10,4.46,1.64,5.67,1.91,0.62,2.78,2.71,3.76,5.91,,
December,2.89,2.98,0.72,3.35,4.12,4.89,2.22,3.96,7.48,4.84,,
Total,42.22,29.17,24.36,36.18,27.83,25.76,27.80,36.77,30.92,46.59,,
Calc annual,42.22,29.17,24.36,36.18,27.83,25.76,27.80,36.77,30.92,46.59,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
