"SKYE (LOCH HARPORT, CARBOST)",,,,,,,,,,,,
Grid ref,NG369330,Long,-6.370850,Lat,57.311465,,,,,,,
Station no,5757/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,15.44,9.52,7.57,8.32,6.19,7.67,13.51,12.96,6.74,5.23,,
February,5.36,4.96,6.34,8.24,4.42,4.79,6.02,4.86,4.22,7.10,,
March,5.15,10.95,3.08,7.57,2.52,3.13,9.13,2.62,6.37,2.82,,
April,7.47,4.58,7.72,3.51,6.72,3.61,5.90,3.37,7.02,,,
May,0.53,3.57,4.54,5.27,4.15,7.80,2.76,7.23,1.75,,,
June,3.28,7.40,2.52,7.78,6.83,4.10,3.94,2.80,6.62,,,
July,7.94,5.68,7.30,6.52,2.50,8.52,5.82,2.49,11.64,,,
August,7.47,6.97,7.03,6.89,2.65,6.38,7.77,5.60,7.84,,,
September,7.49,6.76,8.13,10.87,12.78,5.02,6.13,6.24,6.44,,,
October,8.69,9.77,14.76,13.04,11.10,8.35,13.72,10.30,10.73,,,
November,9.17,4.37,14.84,13.51,3.99,9.96,6.91,7.11,13.77,,,
December,13.82,12.71,9.51,9.90,9.81,11.81,10.39,6.18,14.55,,,
Total,91.81,87.24,93.34,101.42,73.66,81.14,92.00,71.96,97.69,,,
Calc annual,91.81,87.24,93.34,101.42,73.66,81.14,92.00,71.76,97.69,15.15,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.20,0.00,NaN,,
