"THURSO (HOLBORN HEAD)",,,,,,,,,,,,
Grid ref,ND107707,Long,-3.538962,Lat,58.615011,,,,,,,
Station no,5813,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.47,4.23,4.41,2.48,3.33,4.18,3.83,2.80,5.02,2.21,,
February,4.72,2.86,1.69,2.59,2.71,1.95,1.08,2.16,0.76,1.81,,
March,3.86,2.41,1.46,1.94,1.69,0.51,2.94,1.56,1.65,0.60,,
April,2.39,0.64,2.72,1.39,1.77,1.39,0.93,1.16,1.70,0.59,,
May,0.52,2.14,2.38,2.02,3.38,1.52,1.20,3.91,1.88,0.41,,
June,1.62,2.30,1.10,3.29,1.24,2.67,2.14,1.06,2.00,0.68,,
July,4.22,1.91,4.86,3.24,0.62,3.77,4.39,1.30,2.21,1.84,,
August,2.83,2.70,3.20,1.78,1.27,3.06,3.26,3.73,2.14,3.47,,
September,0.88,3.66,2.73,3.89,4.04,1.70,3.22,1.17,0.73,1.36,,
October,2.00,2.72,0.74,6.31,5.48,3.35,4.20,3.56,4.19,2.56,,
November,4.31,4.24,3.58,4.12,2.42,3.72,2.79,2.22,2.72,2.74,,
December,3.09,3.22,2.61,5.25,5.09,4.35,3.86,2.28,1.34,2.27,,
Total,32.91,33.03,31.48,38.30,33.04,32.17,33.84,26.91,26.34,20.54,,
Calc annual,32.91,33.03,31.48,38.30,33.04,32.17,33.84,26.91,26.34,20.54,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
