"DARWEN (EARNSDALE RESERVOIR)",,,,,,,,,,,,
Grid ref,SD670220,Long,-2.501235,Lat,53.693394,,,,,,,
Station no,2942,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.73,5.67,-999.00,6.12,2.87,6.50,4.01,4.57,3.20,6.55,,
February,4.70,1.93,,4.56,2.51,1.00,4.27,7.91,0.83,4.08,,
March,6.00,2.94,,4.52,2.22,2.01,4.35,1.96,2.62,1.80,,
April,3.29,4.50,,1.35,3.55,3.28,0.71,1.71,3.82,3.60,,
May,2.87,3.20,,3.40,4.83,2.06,3.26,5.31,2.13,2.42,,
June,1.83,4.67,,4.14,4.29,2.86,2.41,4.54,3.12,1.93,,
July,4.16,3.42,6.41,8.33,1.21,5.79,8.13,4.01,5.55,10.63,,
August,5.74,6.37,5.80,7.43,1.48,14.17,8.24,4.83,0.72,5.72,,
September,4.23,5.86,6.22,6.59,5.29,4.41,9.19,5.47,0.48,3.76,,
October,1.37,6.03,2.92,10.34,3.68,3.28,7.82,5.56,5.74,4.59,,
November,10.15,3.05,7.18,9.68,3.23,1.68,3.02,1.97,6.43,9.30,,
December,12.74,5.10,2.50,8.09,7.12,5.67,5.86,4.80,11.61,5.74,,
Total,62.81,52.74,-999.00,74.55,42.28,52.71,61.27,52.64,46.25,60.12,,
Calc annual,62.81,52.74,31.03,74.55,42.28,52.71,61.27,52.64,46.25,60.12,,
Difference,0.00,0.00,-1030.03,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
