"TARFSIDE (HIGH LEVEL)",,,,,,,,,,,,
Grid ref,NO447842,Long,-2.910611,Lat,56.945743,,,,,,,
Station no,5612,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,5.98,,
February,,,,,,,,,,6.56,,
March,,,,,,,,,,2.92,,
April,,,,,,,,,,6.03,,
May,,,,,,,,,0.78,2.35,,
June,,,,,,,,,3.25,2.37,,
July,,,,,,,,,4.27,5.35,,
August,,,,,,,,,2.01,5.92,,
September,,,,,,,,,1.05,5.58,,
October,,,,,,,,,6.54,12.56,,
November,,,,,,,,,9.94,6.07,,
December,,,,,,,,,9.56,3.61,,
Total,,,,,,,,,,65.30,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.40,65.30,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
