"WATENDLATH TARN",,,,,,,,,,,,
Grid ref,NY275161,Long,-3.121951,Lat,54.534959,,,,,,,
Station no,633088,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.05,7.39,4.41,8.58,7.33,4.27,12.54,9.53,,,,
February,6.64,1.88,3.93,5.78,2.54,1.50,6.31,10.51,,,,
March,6.47,4.94,1.20,5.47,1.77,3.77,7.57,1.94,,,,
April,6.61,4.54,5.43,2.05,4.05,1.69,2.97,,,,,
May,3.62,4.43,2.84,4.73,8.26,5.24,4.51,7.24,,,,
June,2.69,3.73,3.03,8.45,3.41,3.39,1.72,,,,,
July,4.13,5.43,10.49,9.56,3.63,8.07,5.21,,,,,
August,7.36,11.35,8.24,7.93,4.45,11.67,6.49,,,,,
September,11.93,7.93,11.75,15.20,6.34,7.31,7.02,,,,,
October,1.64,7.25,5.21,21.83,5.60,7.38,12.19,,,,,
November,18.80,5.47,14.90,20.75,4.10,2.48,3.64,,,,,
December,18.60,6.52,5.93,13.71,13.16,12.81,12.27,,,,,
Total,96.54,70.86,77.36,124.04,64.64,69.58,82.44,,,,,
Calc annual,96.54,70.86,77.36,124.04,64.64,69.58,82.44,29.22,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
