"APPLEBY (BONGATE CROSS) ",,,,,,,,,,,,
Grid ref,NY688201,Long,-2.484155,Lat,54.575143,,,,,,,
Station no,3685/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.68,2.82,0.81,2.50,2.30,2.74,,3.45,2.41,4.49,,
February,3.05,0.44,1.48,1.94,1.60,0.89,,4.15,0.78,3.81,,
March,2.27,1.77,0.60,2.57,0.96,0.66,,1.09,1.37,0.94,,
April,2.31,2.70,2.40,0.59,1.01,0.95,,0.91,3.03,2.14,,
May,1.52,2.51,1.86,3.34,2.93,1.46,,3.97,1.12,1.77,,
June,1.14,2.24,1.87,2.58,2.11,4.67,,2.97,4.25,1.51,,
July,2.51,1.16,3.59,2.03,1.20,2.17,,3.52,3.64,5.60,,
August,3.12,3.65,3.92,4.13,1.77,8.24,4.66,4.11,0.53,2.69,,
September,2.31,2.32,3.22,5.14,1.26,2.42,3.79,4.14,1.08,1.98,,
October,0.91,4.20,1.73,7.84,1.89,2.14,3.42,4.27,3.02,2.55,,
November,5.92,1.56,2.82,5.80,1.84,1.63,1.35,0.67,4.65,5.64,,
December,6.34,3.04,1.62,3.50,3.36,3.63,2.36,2.31,4.71,3.38,,
Total,34.08,28.41,25.92,41.96,22.23,31.60,,35.56,30.59,36.50,,
Calc annual,34.08,28.41,25.92,41.96,22.23,31.60,15.58,35.56,30.59,36.50,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,0.00,-0.00,0.00,,
