"STRUAN (AUCHLEEKS)",,,,,,,,,,,,
Grid ref,NN724641,Long,-4.088307,Lat,56.751001,,,,,,,
Station no,5563/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.07,3.32,2.61,5.47,2.40,3.44,7.76,3.00,1.69,3.94,,
February,3.35,1.83,1.82,2.95,2.46,2.26,4.81,2.50,1.58,3.84,,
March,2.53,2.72,2.06,2.64,0.95,3.77,4.38,2.00,3.12,2.58,,
April,3.67,1.71,2.52,1.29,1.89,1.98,1.49,1.50,3.41,3.76,,
May,1.84,2.85,2.97,4.13,3.12,3.60,2.03,4.00,1.80,2.44,,
June,1.98,3.22,1.48,1.89,1.56,3.11,1.97,3.50,3.04,2.00,,
July,3.01,2.64,3.62,1.76,0.45,4.05,5.97,4.50,3.35,2.50,,
August,5.28,3.12,2.11,4.62,1.02,5.86,4.43,6.00,1.94,3.31,,
September,2.87,1.31,4.14,5.22,3.43,5.93,2.39,5.00,1.06,3.35,,
October,1.50,5.45,2.67,8.13,3.52,4.51,4.32,3.50,6.93,3.73,,
November,9.45,2.15,6.61,8.36,2.12,3.01,1.03,1.05,4.48,4.03,,
December,6.62,3.58,5.98,9.51,10.64,7.89,7.36,5.79,7.45,5.98,,
Total,47.17,33.90,38.59,55.97,33.56,49.41,47.94,42.34,39.85,41.46,,
Calc annual,47.17,33.90,38.59,55.97,33.56,49.41,47.94,42.34,39.85,41.46,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
