"CALLALY CASTLE GARDENS",,,,,,,,,,,,
Grid ref,NU052100,Long,-1.919477,Lat,55.383944,,,,,,,
Station no,3590/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.23,1.95,0.81,2.86,2.03,4.29,2.92,2.49,1.90,3.96,,
February,3.86,0.60,1.63,3.17,2.09,3.00,3.93,3.39,0.28,3.00,,
March,4.06,1.20,0.12,1.42,2.71,0.87,1.83,4.13,0.71,1.76,,
April,2.49,0.77,2.68,0.58,0.43,1.03,0.27,2.69,1.94,0.73,,
May,3.69,0.87,2.15,3.82,1.69,0.50,1.65,2.52,0.27,2.19,,
June,1.24,1.09,3.53,1.18,1.71,2.06,1.49,3.14,1.92,0.67,,
July,1.39,1.43,3.05,2.97,1.85,3.06,3.94,3.96,2.56,3.17,,
August,3.16,3.29,2.50,6.63,0.71,9.16,6.28,2.99,0.30,1.93,,
September,0.95,3.60,2.72,3.73,1.44,3.17,2.65,2.58,0.80,1.52,,
October,0.72,3.29,1.49,4.87,2.33,2.09,1.57,1.81,1.89,6.29,,
November,9.34,3.09,1.74,3.91,1.58,1.05,1.91,0.53,6.27,1.96,,
December,1.73,3.59,1.11,2.49,4.58,3.30,2.30,5.32,4.87,1.33,,
Total,34.86,24.77,23.53,37.63,23.15,33.58,30.74,35.55,23.71,28.51,,
Calc annual,34.86,24.77,23.53,37.63,23.15,33.58,30.74,35.55,23.71,28.51,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
