"CRIEFF (STRATHEARN HYDRO)",,,,,,,,,,,,
Grid ref,NN867223,Long,-3.836319,Lat,56.379368,,,,,,,
Station no,5545,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.71,2.75,0.70,3.39,2.18,3.19,6.89,4.23,1.16,3.90,,
February,3.66,0.83,0.94,4.53,2.09,1.54,3.92,1.84,1.10,4.44,,
March,1.92,3.63,1.01,3.10,2.17,2.29,4.61,1.93,2.73,2.72,,
April,3.53,1.70,2.15,1.38,1.53,0.94,1.58,1.20,3.30,3.42,,
May,2.27,2.21,2.36,6.10,2.54,1.64,2.69,3.25,1.36,3.85,,
June,2.38,2.61,3.47,2.57,1.39,3.82,2.06,3.90,2.33,2.14,,
July,2.92,2.24,3.81,2.48,1.14,5.00,4.57,4.32,5.27,3.93,,
August,5.60,4.71,2.11,4.11,1.22,6.73,4.40,3.84,0.97,5.04,,
September,3.05,1.37,4.10,3.93,2.12,6.00,3.19,4.87,0.71,2.73,,
October,0.86,3.88,1.72,7.20,3.21,2.83,2.59,3.61,3.56,4.90,,
November,7.76,2.02,5.20,7.39,2.26,0.92,1.32,1.41,6.24,5.02,,
December,4.85,2.85,5.13,6.00,6.98,6.40,5.20,5.99,6.91,4.73,,
Total,43.51,30.80,32.70,52.18,28.83,41.30,43.02,40.39,36.24,46.82,,
Calc annual,43.51,30.80,32.70,52.18,28.83,41.30,43.02,40.39,35.64,46.82,,
Difference,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.60,-0.00,,
