"EXTON (REDHILL)",,,,,,,,,,,,
Grid ref,SX981871,Long,-3.443483,Lat,50.674614,,,,,,,
Station no,1763/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,2.46,3.02,,,,
February,,,,,,,4.66,3.20,,,,
March,,,,,,,2.98,1.48,,,,
April,,,,,,,0.08,0.30,,,,
May,,,,,,,1.73,2.16,,,,
June,,,,,,,2.01,3.20,,,,
July,,,,,,,2.52,2.32,,,,
August,,,,,,,1.98,3.16,,,,
September,,,,,,,1.56,3.27,,,,
October,,,,,,,1.57,2.34,,,,
November,,,,,,,1.90,2.30,,,,
December,,,,,,,1.96,3.86,,,,
Total,,,,,,,25.41,30.62,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,25.41,30.61,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.01,NaN,NaN,,
