"DALRY (GLENLEE)",,,,,,,,,,,,
Grid ref,NX606805,Long,-4.186249,Lat,55.099267,,,,,,,
Station no,5015/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.34,8.06,2.23,7.62,5.46,4.72,7.64,8.47,3.47,6.54,,
February,4.66,1.61,1.95,6.03,2.57,1.06,5.10,5.29,2.16,8.11,,
March,4.26,4.14,0.63,5.09,3.03,3.52,5.54,1.68,5.00,1.75,,
April,3.27,2.83,2.88,1.67,2.72,1.37,2.05,1.65,4.47,6.50,,
May,2.80,3.48,3.51,4.56,4.59,2.33,3.64,3.96,1.76,2.22,,
June,2.61,2.98,2.17,4.79,3.44,3.49,1.54,3.46,3.92,3.18,,
July,2.20,3.63,6.52,3.97,2.71,6.21,5.98,4.42,6.20,4.82,,
August,10.03,5.24,3.72,4.29,1.59,9.75,4.88,5.14,0.95,4.63,,
September,5.90,2.86,8.36,8.16,3.59,6.04,4.90,6.20,1.76,4.36,,
October,0.81,6.47,5.68,11.88,4.71,4.69,5.58,5.08,7.15,5.40,,
November,11.49,2.98,8.99,11.86,4.00,2.93,3.40,2.43,8.43,12.12,,
December,11.90,5.95,5.83,9.28,10.08,7.83,7.33,5.94,10.94,6.77,,
Total,67.27,50.23,52.47,79.20,48.49,53.94,57.58,53.72,56.21,66.40,,
Calc annual,67.27,50.23,52.47,79.20,48.49,53.94,57.58,53.72,56.21,66.40,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
