"AXMINSTER (GAMBERLAKE HOUSE)",,,,,,,,,,,,
Grid ref,SY298983,Long,-2.997079,Lat,50.780010,,,,,,,
Station no,1818/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.22,2.93,0.55,1.98,5.24,4.29,3.19,3.69,5.68,,,
February,6.44,0.71,1.94,4.72,3.48,0.34,5.29,4.16,0.47,,,
March,5.00,3.69,0.61,5.31,1.56,1.45,3.80,2.24,3.99,,,
April,2.27,3.45,3.55,0.41,0.97,1.42,0.11,0.80,2.81,,,
May,3.26,3.17,3.69,2.35,4.24,0.86,2.33,3.33,1.27,,,
June,0.93,2.19,2.95,2.56,3.55,2.64,2.08,3.38,1.15,,,
July,3.16,1.51,3.90,2.69,2.97,2.52,3.39,3.04,2.22,,,
August,5.69,4.64,2.69,3.65,0.51,3.33,3.05,3.88,1.32,,,
September,4.83,3.58,3.28,2.67,1.42,7.21,3.67,5.60,0.09,,,
October,0.94,6.12,3.74,2.89,2.27,1.73,2.55,2.83,3.43,,,
November,8.78,4.60,2.47,7.29,5.86,0.93,3.06,3.04,6.40,,,
December,3.51,3.41,0.68,3.50,6.29,8.55,4.06,6.66,-999.00,,,
Total,49.03,40.00,30.05,40.02,38.36,35.27,36.58,42.65,38.65,,,
Calc annual,49.03,40.00,30.05,40.02,38.36,35.27,36.58,42.65,28.83,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,9.82,NaN,,
