"BOGNOR REGIS (ALBERT ROAD)",,,,,,,,,,,,
Grid ref,SZ936992,Long,-0.673603,Lat,50.784828,,,,,,,
Station no,420,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.03,2.82,,,,,,,,,,
February,5.95,0.85,,,,,,,,,,
March,4.04,3.08,,,,,,,,,,
April,1.80,1.20,,,,,,,,,,
May,2.52,2.84,,,,,,,,,,
June,2.00,1.48,,,,,,,,,,
July,2.55,0.71,,,,,,,,,,
August,5.05,1.64,,,,,,,,,,
September,3.24,4.31,,,,,,,,,,
October,1.40,3.59,,,,,,,,,,
November,5.44,4.09,,,,,,,,,,
December,2.64,2.98,,,,,,,,,,
Total,40.66,29.59,,,,,,,,,,
Calc annual,40.66,29.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
