"BRIDGNORTH (SILVERDALE)",,,,,,,,,,,,
Grid ref,SO709932,Long,-2.430447,Lat,52.535878,,,,,,,
Station no,2279/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.14,2.47,0.68,1.22,2.81,3.29,1.33,2.35,3.41,6.14,,
February,2.26,0.47,1.67,1.96,1.74,0.47,2.38,4.13,0.21,2.84,,
March,4.32,1.71,0.80,2.11,3.17,1.18,1.82,0.86,2.03,1.53,,
April,2.02,1.90,3.03,0.42,1.08,1.72,0.16,0.29,3.40,1.29,,
May,3.78,2.82,1.95,2.44,4.95,0.43,1.24,1.72,1.63,2.13,,
June,0.66,1.84,1.90,2.90,3.10,2.34,1.69,3.53,1.25,2.06,,
July,1.27,1.18,2.31,1.93,0.92,1.98,3.94,3.15,1.54,3.16,,
August,3.54,4.36,2.56,3.03,1.22,4.11,3.33,4.26,1.50,3.03,,
September,1.60,1.40,2.29,2.21,2.18,2.98,4.30,4.35,0.05,5.20,,
October,0.82,4.16,1.68,2.94,1.48,1.96,1.41,2.54,2.33,5.83,,
November,6.99,2.37,1.61,6.18,2.32,0.67,2.30,1.45,3.66,5.79,,
December,2.37,2.58,1.19,2.10,2.62,2.90,1.19,2.16,5.00,3.37,,
Total,31.77,27.26,21.67,29.44,27.59,24.03,25.09,30.79,26.01,42.37,,
Calc annual,31.77,27.26,21.67,29.44,27.59,24.03,25.09,30.79,26.01,42.37,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
