"BROMSGROVE (WASHING STOCKS P.S.)",,,,,,,,,,,,
Grid ref,SO959732,Long,-2.061625,Lat,52.356845,,,,,,,
Station no,2410,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.46,2.07,0.90,1.01,2.40,3.03,1.13,2.45,3.16,5.50,,
February,2.71,0.58,1.58,2.35,1.39,0.44,2.56,4.14,0.12,2.08,,
March,4.57,1.93,1.27,2.10,2.50,1.07,1.93,1.16,1.68,1.18,,
April,2.56,2.08,2.50,0.63,1.25,1.06,0.10,0.49,2.78,0.98,,
May,3.29,2.74,2.47,2.10,4.28,0.63,1.26,2.12,1.11,1.61,,
June,0.98,1.43,3.64,2.95,2.79,2.24,1.41,4.09,0.90,2.01,,
July,0.94,0.73,3.35,3.52,1.38,3.56,3.57,2.83,1.91,3.33,,
August,4.83,3.80,2.80,5.37,0.59,5.19,3.61,2.80,1.27,4.84,,
September,2.03,1.29,2.64,1.80,1.46,2.53,4.07,4.83,0.23,4.54,,
October,0.68,4.85,2.15,3.50,1.34,1.58,1.31,2.13,2.37,5.60,,
November,6.76,2.34,1.31,5.38,3.27,0.65,2.14,2.06,3.81,3.43,,
December,2.44,3.18,1.14,1.85,2.17,2.93,2.61,3.06,4.78,3.44,,
Total,34.25,27.02,25.75,32.56,24.82,24.91,25.70,32.16,24.12,38.54,,
Calc annual,34.25,27.02,25.75,32.56,24.82,24.91,25.70,32.16,24.12,38.54,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
