"LOCH AN-T-SEILICH, CHANGED TO TROMIE DAM",,,,,,,,,,,,
Grid ref,NN763883,Long,-4.036351,Lat,56.969315,,,,,,,
Station no,5692/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.98,3.17,5.51,4.53,3.13,3.79,7.67,4.86,3.05,5.04,,
February,2.50,3.46,2.23,2.99,5.10,3.72,5.23,3.62,1.75,6.16,,
March,1.83,2.69,1.98,3.89,4.31,4.49,5.16,4.37,3.59,1.54,,
April,4.34,2.81,3.56,2.17,1.15,2.60,1.19,1.66,3.83,4.68,,
May,1.77,2.80,4.03,4.91,3.61,4.18,1.54,3.65,2.10,1.97,,
June,2.46,2.72,4.89,2.27,1.39,4.15,1.99,2.23,2.53,2.25,,
July,2.38,2.10,4.22,2.66,0.32,7.37,4.92,5.04,4.94,3.35,,
August,6.39,2.79,3.93,2.63,1.20,5.06,5.42,5.60,2.20,9.89,,
September,2.65,3.18,4.70,6.10,4.63,5.77,2.71,4.61,0.84,4.57,,
October,1.05,7.03,2.68,7.90,5.11,5.57,3.01,4.36,5.85,2.72,,
November,7.26,3.92,7.14,10.85,2.36,4.46,3.64,1.46,6.51,4.44,,
December,5.88,4.15,6.80,9.24,9.83,11.46,4.98,3.47,7.70,4.82,,
Total,41.49,40.82,51.67,60.14,42.14,62.62,47.46,44.93,44.89,51.43,,
Calc annual,41.49,40.82,51.67,60.14,42.14,62.62,47.46,44.93,44.89,51.43,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
