"ALPORT MOOR NO. 38B",,,,,,,,,,,,
Grid ref,SK106943,Long,-1.841876,Lat,53.445363,,,,,,,
Station no,2706,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.75,6.85,4.43,6.38,3.74,8.67,4.64,6.36,6.26,7.67,,
February,8.23,6.26,3.30,4.70,3.08,3.09,5.14,10.26,1.24,4.04,,
March,8.18,3.84,4.43,4.46,5.38,2.78,4.85,4.17,3.09,2.07,,
April,3.76,4.67,4.49,1.47,3.02,3.31,1.23,2.44,5.24,3.85,,
May,3.84,3.16,3.06,4.83,5.68,1.97,1.88,5.27,3.47,2.88,,
June,2.12,4.96,5.19,4.54,5.11,5.67,1.84,6.63,3.12,2.28,,
July,5.16,4.57,8.75,9.97,1.29,9.44,7.18,8.25,5.82,10.37,,
August,7.94,4.26,6.67,9.73,0.92,13.76,9.17,4.86,0.65,7.23,,
September,4.08,7.72,3.94,6.87,3.84,5.79,13.54,6.98,0.29,6.08,,
October,1.56,7.43,3.07,10.56,4.64,4.16,7.14,5.94,5.38,8.17,,
November,13.08,5.22,4.76,10.17,3.53,3.34,3.52,2.42,6.82,8.14,,
December,8.76,6.18,3.38,10.86,6.97,8.34,8.42,5.83,9.83,5.83,,
Total,75.46,65.12,55.47,84.54,47.20,70.32,68.55,69.41,51.21,68.61,,
Calc annual,75.46,65.12,55.47,84.54,47.20,70.32,68.55,69.41,51.21,68.61,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
