"LOCH RECAWR",,,,,,,,,,,,
Grid ref,NX441938,Long,-4.451910,Lat,55.213757,,,,,,,
Station no,5256/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.50,11.80,4.40,8.60,6.00,6.20,9.50,9.80,4.60,5.40,,
February,4.50,3.20,4.10,4.80,2.30,1.90,5.20,7.50,3.90,8.20,,
March,3.70,3.90,1.00,6.00,3.30,4.35,6.50,2.20,5.40,3.30,,
April,5.90,3.30,4.60,2.40,4.40,1.80,3.50,3.30,7.60,8.40,,
May,2.70,3.30,4.30,4.30,5.90,4.20,2.90,3.90,3.10,3.70,,
June,3.00,4.20,2.10,6.80,5.10,3.90,1.30,3.90,5.20,4.30,,
July,3.90,5.70,9.70,6.60,1.70,9.10,6.80,6.60,6.00,5.70,,
August,8.10,5.20,3.90,5.90,2.20,6.70,7.00,5.90,1.50,5.00,,
September,6.75,5.30,11.40,11.20,6.70,6.00,5.60,6.10,2.00,5.10,,
October,0.90,7.90,6.00,13.70,4.90,6.30,8.60,6.70,11.40,4.30,,
November,14.40,5.00,13.40,13.20,4.50,4.20,3.80,2.70,7.30,12.50,,
December,14.50,6.80,7.10,15.10,11.10,10.00,9.70,7.50,13.40,10.20,,
Total,75.85,65.60,72.00,98.60,58.10,64.65,70.40,66.10,71.40,76.10,,
Calc annual,75.85,65.60,72.00,98.60,58.10,64.65,70.40,66.10,71.40,76.10,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
