"HOLLESLEY",,,,,,,,,,,,
Grid ref,TM368439,Long,1.451647,Lat,52.042883,,,,,,,
Station no,1352/6/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.26,2.28,1.96,2.72,,
February,,,,,,,2.32,2.43,0.13,1.13,,
March,,,,,,,1.24,1.16,1.02,1.98,,
April,,,,,,,0.21,1.01,1.50,0.62,,
May,,,,,,,1.75,2.67,0.22,0.92,,
June,,,,,,,1.04,4.02,1.23,1.74,,
July,,,,,,,3.58,1.84,1.78,2.63,,
August,,,,,,3.98,2.01,3.17,1.41,3.82,,
September,,,,,,1.75,2.65,2.57,0.00,2.61,,
October,,,,,,1.59,1.77,2.03,2.01,7.50,,
November,,,,,,0.88,1.81,1.04,2.76,3.98,,
December,,,,,,1.59,1.90,3.23,3.24,3.88,,
Total,,,,,,,21.54,27.45,17.26,33.53,,
Calc annual,0.00,0.00,0.00,0.00,0.00,9.79,21.54,27.45,17.26,33.53,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
