"LITTLEBOROUGH (HOLLINGWORTH LAKE)",,,,,,,,,,,,
Grid ref,SD941150,Long,-2.090694,Lat,53.631492,,,,,,,
Station no,2900,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.44,5.10,1.54,4.21,2.78,5.38,4.31,4.88,3.64,5.32,,
February,3.27,1.37,2.93,2.81,2.41,1.45,2.87,5.72,0.43,2.60,,
March,4.53,2.48,2.24,2.70,2.08,1.50,3.89,2.21,1.93,1.14,,
April,2.51,3.66,3.54,0.81,2.35,4.04,0.50,1.26,3.66,2.55,,
May,2.14,2.25,2.77,2.97,3.83,1.64,1.97,4.06,2.08,1.92,,
June,0.80,3.79,2.70,3.36,3.25,3.04,2.59,4.76,2.95,1.59,,
July,4.40,2.48,6.60,5.55,1.03,6.34,4.97,3.92,3.36,6.87,,
August,5.07,4.75,5.20,6.54,1.20,10.95,5.33,6.08,0.41,4.82,,
September,2.67,3.65,3.70,5.94,2.80,3.67,5.25,4.78,0.35,2.97,,
October,1.33,5.32,2.54,8.28,2.64,2.82,6.09,4.81,4.71,4.11,,
November,8.24,2.45,4.79,6.26,2.20,1.87,2.57,1.96,5.00,7.79,,
December,7.61,3.99,1.85,6.69,5.49,4.53,5.11,4.61,10.73,4.73,,
Total,47.01,41.29,40.40,56.12,32.06,47.23,45.45,49.05,39.25,46.41,,
Calc annual,47.01,41.29,40.40,56.12,32.06,47.23,45.45,49.05,39.25,46.41,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
