"DOUSLAND RESERVOIR",,,,,,,,,,,,
Grid ref,SX539690,Long,-4.061528,Lat,50.502525,,,,,,,
Station no,1646,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.81,5.54,1.60,3.50,7.72,6.53,6.73,6.18,8.46,6.41,,
February,6.56,1.05,2.27,6.35,4.10,0.33,8.51,5.77,0.37,6.78,,
March,6.14,6.04,1.01,5.87,2.23,2.42,7.18,2.16,8.16,4.02,,
April,2.79,5.17,3.68,0.60,2.43,1.27,0.42,1.18,6.19,5.19,,
May,3.47,3.08,5.74,4.85,5.77,1.47,3.34,5.49,1.03,2.65,,
June,1.49,2.72,5.12,5.40,3.52,3.57,2.08,5.12,1.99,2.88,,
July,2.64,2.02,5.08,4.63,2.95,5.63,5.86,5.69,2.54,6.81,,
August,9.30,6.41,3.34,5.28,0.28,4.87,4.84,7.71,2.44,5.15,,
September,7.10,3.88,5.02,6.80,2.67,8.95,6.07,8.43,0.24,8.57,,
October,1.42,7.12,5.52,6.26,3.80,2.99,4.60,6.19,6.67,10.20,,
November,9.47,4.49,3.86,11.79,7.06,2.11,3.45,4.12,11.22,11.04,,
December,5.47,5.34,0.97,5.18,9.00,8.78,5.36,6.92,12.85,6.24,,
Total,62.66,52.86,43.21,66.51,51.53,48.92,58.44,64.96,62.16,75.94,,
Calc annual,62.66,52.86,43.21,66.51,51.53,48.92,58.44,64.96,62.16,75.94,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
