"SANDA LIGHTHOUSE",,,,,,,,,,,,
Grid ref,NR724038,Long,-5.584859,Lat,55.275616,,,,,,,
Station no,5439,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.10,4.78,1.86,6.21,3.48,2.39,0.33,4.06,2.11,3.82,,
February,2.56,1.56,1.53,3.48,1.55,0.54,0.21,4.33,0.97,3.79,,
March,3.54,2.17,0.42,4.44,1.69,1.99,0.62,1.28,3.43,2.02,,
April,1.73,1.46,1.35,1.25,6.71,0.82,0.32,2.03,2.77,3.51,,
May,1.95,1.42,2.93,1.90,4.40,2.79,0.74,2.92,1.01,2.18,,
June,2.66,2.53,0.79,4.26,3.39,1.98,1.97,4.85,2.78,2.79,,
July,3.68,2.13,4.42,4.01,2.12,3.36,3.61,4.19,3.58,5.41,,
August,3.44,6.58,3.73,3.41,0.75,6.69,1.72,4.66,1.33,3.80,,
September,3.24,2.46,5.51,3.35,4.70,2.79,3.12,3.23,2.03,3.04,,
October,0.85,5.69,3.00,5.93,2.70,0.96,2.28,3.37,5.47,5.57,,
November,9.85,3.54,6.69,6.16,2.72,0.72,2.42,3.49,4.35,5.84,,
December,6.07,4.29,3.76,5.47,5.06,0.56,3.10,6.05,8.76,4.34,,
Total,41.67,38.61,35.99,49.87,39.27,25.59,20.44,44.46,38.59,46.11,,
Calc annual,41.67,38.61,35.99,49.87,39.27,25.59,20.44,44.46,38.59,46.11,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
