"INGLEBY GREENHOW",,,,,,,,,,,,
Grid ref,NZ585065,Long,-1.099299,Lat,54.450536,,,,,,,
Station no,3480/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.72,1.99,2.81,4.59,,
February,,,,,,,3.26,2.96,0.51,2.70,,
March,,,,,,,0.85,4.18,1.32,1.21,,
April,,,,,,,0.67,1.80,2.75,0.70,,
May,,,,,,,1.49,3.87,0.73,1.40,,
June,,,,,,,2.70,3.15,1.59,0.41,,
July,,,,,,,4.25,2.60,3.17,5.97,,
August,,,,,,,3.64,3.25,0.47,2.69,,
September,,,,,,,3.01,2.16,0.69,3.28,,
October,,,,,,,1.96,1.86,1.50,9.85,,
November,,,,,,,2.47,1.02,5.08,4.08,,
December,,,,,,,2.88,4.01,5.48,3.59,,
Total,,,,,,,28.89,32.85,26.10,40.47,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,28.90,32.85,26.10,40.47,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.01,0.00,0.00,0.00,,
