"SLEAFORD (NEWTON HALL)",,,,,,,,,,,,
Grid ref,TF047363,Long,-0.444418,Lat,52.913932,,,,,,,
Station no,2534/8/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.28,,
February,,,,,,,,,,2.13,,
March,,,,,,,,,,1.44,,
April,,,,,,,,,,0.34,,
May,,,,,,,,,,1.04,,
June,,,,,,,,,,0.63,,
July,,,,,,,,,,3.06,,
August,,,,,,,,,,3.54,,
September,,,,,,,,,,3.26,,
October,,,,,,,,,,4.66,,
November,,,,,,,,,,3.42,,
December,,,,,,,,,,4.04,,
Total,,,,,,,,,,31.84,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.84,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
