"WEST LINTON (CENTRAL SCHOOL)",,,,,,,,,,,,
Grid ref,NT150520,Long,-3.355862,Lat,55.753871,,,,,,,
Station no,5078,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.38,4.23,1.38,4.01,2.21,2.59,4.32,2.77,1.16,3.73,,
February,2.95,1.16,1.28,2.40,2.03,2.00,3.31,2.79,1.04,2.83,,
March,3.49,1.38,0.83,2.19,1.81,2.20,2.94,1.54,1.07,1.89,,
April,3.58,1.59,2.98,1.46,1.55,1.08,1.68,1.81,2.44,1.88,,
May,3.01,1.40,2.39,5.46,3.17,1.47,1.84,2.58,1.78,1.21,,
June,1.95,2.69,1.62,3.44,1.71,2.67,2.25,2.41,2.14,1.33,,
July,3.20,2.79,4.39,3.86,2.15,4.97,3.80,6.45,3.39,2.74,,
August,4.59,4.60,2.17,5.67,1.93,6.77,4.67,3.69,0.57,4.00,,
September,1.76,2.77,2.85,4.86,2.72,3.39,2.43,3.75,0.87,1.81,,
October,0.65,2.83,1.69,7.04,2.75,2.72,3.20,2.15,3.66,2.98,,
November,6.37,3.23,6.26,4.63,1.45,1.32,1.93,1.22,5.89,3.65,,
December,3.65,4.46,3.96,5.89,6.15,4.70,4.75,5.30,3.70,4.92,,
Total,38.58,33.13,31.80,50.91,29.63,35.88,37.12,36.46,27.71,32.97,,
Calc annual,38.58,33.13,31.80,50.91,29.63,35.88,37.12,36.46,27.71,32.97,,
Difference,0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
