"CANTERBURY (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,TR166596,Long,1.105356,Lat,51.294312,,,,,,,
Station no,298,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.90,2.47,0.98,1.57,2.51,4.52,1.39,3.51,2.35,2.86,,
February,6.26,1.31,1.54,2.02,1.95,1.26,3.75,2.66,0.05,2.23,,
March,3.03,3.23,0.23,2.79,1.31,0.35,0.79,1.25,1.54,1.59,,
April,1.94,1.05,1.33,0.30,0.24,0.83,0.40,1.89,2.57,2.65,,
May,2.36,0.90,1.82,2.19,4.30,0.53,1.27,1.32,0.98,2.02,,
June,1.25,2.20,2.31,2.19,2.19,2.22,1.28,4.43,1.42,1.89,,
July,1.10,0.79,2.74,2.58,1.75,2.25,2.71,1.96,2.31,1.96,,
August,3.22,2.43,1.83,4.17,3.74,2.46,2.02,3.81,1.40,3.82,,
September,3.57,5.07,3.34,1.51,0.94,1.54,3.41,2.77,0.16,2.90,,
October,1.74,1.83,2.37,1.38,4.02,1.10,0.91,4.20,2.93,6.95,,
November,4.23,4.00,1.75,4.82,0.77,0.59,4.70,1.79,5.06,4.81,,
December,2.64,2.30,1.18,1.81,2.11,2.72,1.63,4.10,4.94,4.11,,
Total,34.24,27.58,21.47,27.33,25.83,20.37,24.26,33.69,25.71,37.79,,
Calc annual,34.24,27.58,21.42,27.33,25.83,20.37,24.26,33.69,25.71,37.79,,
Difference,0.00,-0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
