"HELVELLYN (HILL TOP GILL)",,,,,,,,,,,,
Grid ref,NY317121,Long,-3.056127,Lat,54.499603,,,,,,,
Station no,3629/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.00,8.55,6.51,8.83,9.83,7.41,16.90,11.14,6.41,15.72,,
February,10.29,2.58,4.40,7.01,3.84,1.85,10.45,11.56,2.66,13.17,,
March,7.82,7.20,1.84,6.95,2.59,4.39,8.26,2.23,7.36,2.34,,
April,7.17,5.93,6.36,2.44,4.98,1.90,2.62,3.14,7.00,7.24,,
May,3.62,4.50,4.99,7.32,7.91,5.27,4.96,8.86,2.04,3.76,,
June,2.57,5.03,5.50,10.06,6.08,4.64,3.15,5.67,6.11,7.51,,
July,5.66,6.33,14.38,8.41,5.90,8.53,7.91,5.62,9.18,9.86,,
August,11.48,12.70,11.10,8.71,4.52,13.72,10.42,7.42,1.69,5.79,,
September,15.50,9.73,16.85,19.83,8.51,7.46,10.56,10.78,1.74,6.53,,
October,1.80,10.08,5.39,23.64,7.57,9.42,11.81,11.24,14.39,6.04,,
November,22.11,6.50,19.26,21.95,4.95,4.49,4.15,2.95,14.56,20.44,,
December,21.10,9.92,7.53,16.05,15.02,15.03,12.30,8.88,21.11,13.64,,
Total,119.12,89.05,104.11,141.20,81.70,84.11,103.49,89.49,94.25,112.04,,
Calc annual,119.12,89.05,104.11,141.20,81.70,84.11,103.49,89.49,94.25,112.04,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
