"LISBURN (SEYMOUR PARK)",,,,,,,,,,,,
Grid ref,IJ276639,Long,-6.030556,Lat,54.507576,,,,,,,
Station no,6209/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.07,3.73,,
February,,,,,,,,,1.18,2.49,,
March,,,,,,,,,2.59,2.14,,
April,,,,,,,,,3.00,3.10,,
May,,,,,,,,,1.09,1.79,,
June,,,,,,,,,2.23,2.00,,
July,,,,,,,,,3.50,5.95,,
August,,,,,,,,,0.92,5.35,,
September,,,,,,,,,1.44,2.96,,
October,,,,,,,,,3.79,5.49,,
November,,,,,,,,,3.57,3.87,,
December,,,,,,,,,4.61,2.47,,
Total,,,,,,,,,29.99,41.34,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.99,41.34,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
