"MOSSDALE (HENSOL)",,,,,,,,,,,,
Grid ref,NX675697,Long,-4.073172,Lat,55.004173,,,,,,,
Station no,5015,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.20,6.46,2.15,4.98,5.82,3.94,6.62,7.37,2.97,5.90,,
February,3.92,0.95,1.55,5.99,1.76,1.01,4.45,4.19,1.74,7.65,,
March,3.61,3.86,0.55,4.76,3.61,2.55,4.62,1.53,4.09,2.20,,
April,3.47,2.60,3.11,1.48,2.84,1.18,2.43,1.49,3.56,5.70,,
May,2.64,2.93,3.35,4.80,4.07,2.48,3.58,4.13,1.05,2.20,,
June,2.16,2.79,2.96,4.11,3.32,2.98,1.17,4.11,3.61,2.70,,
July,2.01,2.96,7.01,3.52,2.20,6.55,4.37,4.57,4.38,5.00,,
August,8.81,5.21,3.19,3.94,1.71,9.27,4.40,4.51,0.80,4.80,,
September,5.84,2.34,6.72,7.32,3.39,6.63,4.47,7.13,1.74,5.10,,
October,0.62,5.99,-999.00,11.32,3.65,4.31,4.95,5.32,5.78,6.10,,
November,10.88,2.81,8.12,12.28,3.23,1.85,3.70,2.80,8.15,9.70,,
December,10.11,5.08,4.73,6.84,9.05,6.90,5.96,5.26,11.30,5.30,,
Total,59.27,43.98,47.81,71.34,44.65,49.65,50.72,52.41,49.17,63.35,,
Calc annual,59.27,43.98,43.44,71.34,44.65,49.65,50.72,52.41,49.17,62.35,,
Difference,0.00,-0.00,4.37,0.00,-0.00,-0.00,-0.00,0.00,0.00,1.00,,
