"MOORFOOT HILLS (ROSEBERY)",,,,,,,,,,,,
Grid ref,NT308570,Long,-3.105452,Lat,55.801308,,,,,,,
Station no,5115,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.45,3.48,0.69,3.61,2.24,2.32,3.75,2.39,1.23,3.80,,
February,2.79,0.72,0.91,1.64,2.27,2.35,3.03,2.65,0.56,3.11,,
March,3.33,1.65,0.40,2.10,1.58,1.70,2.17,2.11,0.88,1.70,,
April,3.54,1.80,2.85,1.24,0.73,0.76,1.42,2.33,2.07,1.47,,
May,3.22,1.78,2.50,6.05,2.34,1.31,2.00,2.21,0.58,1.28,,
June,2.03,2.50,2.13,2.56,0.68,3.08,2.26,3.31,1.79,1.18,,
July,2.94,2.03,4.33,2.06,2.67,5.42,4.19,6.92,2.91,2.69,,
August,4.77,2.99,1.98,5.34,1.10,8.75,5.33,2.57,0.66,4.29,,
September,1.34,2.79,2.76,3.77,2.07,3.10,1.85,2.17,0.51,1.47,,
October,0.65,2.49,1.52,6.00,2.24,2.12,2.63,1.30,2.82,3.08,,
November,7.28,3.41,4.23,4.28,1.06,1.08,1.89,0.96,5.53,3.31,,
December,2.77,4.07,3.26,4.70,5.72,3.89,3.96,4.65,4.05,3.46,,
Total,38.11,29.71,27.56,43.35,24.70,35.88,34.48,33.57,23.59,30.84,,
Calc annual,38.11,29.71,27.56,43.35,24.70,35.88,34.48,33.57,23.59,30.84,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
