"KEADY (DERRYNOOSE RECTORY)",,,,,,,,,,,,
Grid ref,IH813375,Long,-6.752422,Lat,54.279970,,,,,,,
Station no,6192/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.97,4.84,1.18,,,,,,,,,
February,3.22,0.62,1.54,,,,,,,,,
March,2.94,1.73,0.29,,,,,,,,,
April,1.87,1.74,2.49,,,,,,,,,
May,1.48,1.00,2.08,,,,,,,,,
June,2.42,2.51,2.05,,,,,,,,,
July,3.29,1.87,3.89,,,,,,,,,
August,5.17,3.85,3.46,,,,,,,,,
September,2.61,1.27,3.31,,,,,,,,,
October,1.01,4.11,,,,,,,,,,
November,4.92,2.32,,,,,,,,,,
December,4.40,3.67,,,,,,,,,,
Total,36.30,29.53,,,,,,,,,,
Calc annual,36.30,29.53,20.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
