"BOSSINEY",,,,,,,,,,,,
Grid ref,SX065889,Long,-4.739570,Lat,50.667532,,,,,,,
Station no,1893/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.49,4.16,1.11,2.15,4.78,4.63,2.36,4.55,6.18,4.20,,
February,3.69,0.97,1.68,5.07,3.17,0.74,6.43,4.87,0.67,3.80,,
March,5.35,3.58,1.14,2.79,1.32,2.47,3.32,1.24,4.26,1.96,,
April,2.49,3.07,3.15,0.67,1.52,1.08,0.50,1.12,3.16,3.80,,
May,3.18,2.47,2.35,3.05,2.94,1.02,1.65,3.86,1.39,2.48,,
June,0.77,1.38,1.71,2.95,3.12,2.17,3.91,4.78,1.47,2.11,,
July,1.06,1.31,5.55,5.39,0.41,4.55,3.43,2.47,1.67,5.20,,
August,5.20,4.32,2.83,2.60,0.24,2.86,2.77,7.65,3.31,3.97,,
September,2.90,5.34,3.84,3.74,1.82,3.86,3.73,6.91,0.21,5.87,,
October,1.63,4.45,2.92,3.45,2.87,1.76,4.02,4.00,6.48,7.88,,
November,5.54,3.53,2.58,7.26,3.22,1.80,2.43,4.36,8.23,6.35,,
December,4.87,3.81,1.47,3.50,5.69,5.05,3.29,4.26,8.56,5.04,,
Total,42.17,38.39,30.33,42.62,31.10,31.99,37.84,50.07,45.59,52.66,,
Calc annual,42.17,38.39,30.33,42.62,31.10,31.99,37.84,50.07,45.59,52.66,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
