"CRATHORNE HALL GARDENS",,,,,,,,,,,,
Grid ref,NZ444087,Long,-1.316405,Lat,54.471730,,,,,,,
Station no,3482,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.94,2.05,1.01,2.33,1.91,2.45,1.65,1.65,2.56,3.79,,
February,2.09,0.35,1.95,1.58,1.67,2.05,2.01,2.92,0.61,2.21,,
March,2.68,1.24,0.23,1.63,1.58,0.40,0.88,1.81,0.73,1.40,,
April,1.79,2.00,1.87,0.22,0.98,0.73,0.25,1.30,1.44,0.51,,
May,3.64,1.30,1.88,2.45,2.12,0.26,1.13,2.65,0.66,0.52,,
June,1.24,1.22,2.26,3.01,2.50,3.34,3.47,2.83,1.82,0.27,,
July,2.62,1.30,2.83,1.66,0.90,3.32,3.23,2.19,1.53,5.68,,
August,5.76,2.81,2.67,5.47,0.89,6.83,3.05,3.64,0.20,2.65,,
September,1.40,4.66,1.66,1.46,1.26,1.75,2.99,1.89,0.94,2.44,,
October,1.29,3.11,1.81,3.75,1.96,1.34,1.84,1.34,1.16,4.56,,
November,4.46,2.85,1.66,4.08,1.94,0.90,1.95,0.84,3.19,2.90,,
December,2.87,1.45,0.94,1.81,2.73,1.83,2.11,2.06,3.04,2.82,,
Total,31.78,24.34,20.77,29.45,20.44,25.20,24.56,25.12,17.88,29.75,,
Calc annual,31.78,24.34,20.77,29.45,20.44,25.20,24.56,25.12,17.88,29.75,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,,
