"BELFAST (STORMONT CASTLE)",,,,,,,,,,,,
Grid ref,IJ402749,Long,-5.830917,Lat,54.603009,,,,,,,
Station no,6205/9/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,4.00,3.88,1.90,4.35,,
February,,,,,,,1.73,4.49,1.01,2.78,,
March,,,,,,,2.67,2.00,2.73,2.80,,
April,,,,,,,1.04,1.72,2.44,3.67,,
May,,,,,,,2.46,3.26,1.39,2.01,,
June,,,,,,,0.83,5.74,2.67,2.26,,
July,,,,,,,4.20,3.94,2.86,4.39,,
August,,,,,,,3.74,3.53,1.26,5.69,,
September,,,,,,,4.62,5.48,1.18,3.08,,
October,,,,,,,3.37,1.96,3.47,5.87,,
November,,,,,,,2.00,1.75,3.44,4.91,,
December,,,,,,,4.93,5.60,5.24,2.06,,
Total,,,,,,,35.59,43.35,29.59,43.87,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,35.59,43.35,29.59,43.87,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,-0.00,,
