"BARRA (LOCH AN DUIN)",,,,,,,,,,,,
Grid ref,NF756206,Long,-7.368028,Lat,57.161169,,,,,,,
Station no,5764/2/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,2.85,6.56,3.41,3.91,,,,,,
February,,,3.70,5.02,2.74,2.72,,,,,,
March,,,1.78,5.21,1.37,2.20,,,,,,
April,,,3.11,1.93,3.21,2.01,,,,,,
May,,,2.27,3.04,2.44,4.18,,,,,,
June,,,2.20,3.56,4.63,2.46,,,,,,
July,,,4.94,3.01,0.58,4.54,,,,,,
August,,,3.21,3.62,1.21,5.09,,,,,,
September,,,4.41,7.70,6.04,3.10,,,,,,
October,,,7.12,6.20,6.54,5.19,,,,,,
November,,2.60,9.20,10.09,3.14,4.59,,,,,,
December,,5.30,4.28,6.31,6.37,6.56,,,,,,
Total,,,49.07,62.25,41.68,46.55,,,,,,
Calc annual,0.00,7.90,49.07,62.25,41.68,46.55,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
