"STRATH FARRAR (UNCLEAR)",,,,,,,,,,,,
Grid ref,NN232421,Long,-4.876819,Lat,56.537549,,,,,,,
Station no,1392921,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,9.00,4.02,12.56,,
February,,,,,,,,5.20,3.70,7.88,,
March,,,,,,,,3.00,3.60,1.15,,
April,,,,,,,,10.24,9.30,8.05,,
May,,,,,,,,8.25,1.89,2.05,,
June,,,,,,,,3.00,5.91,5.79,,
July,,,,,,,,3.10,8.60,3.71,,
August,,,,,,,,4.60,8.27,9.20,,
September,,,,,,,,5.14,4.30,3.70,,
October,,,,,,,,12.24,10.20,3.54,,
November,,,,,,,,3.29,8.96,4.03,,
December,,,,,,,,8.25,8.10,10.73,,
Total,,,,,,,,75.31,76.85,72.39,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.31,76.85,72.39,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
