"SCAR HOUSE RESERVOIR",,,,,,,,,,,,
Grid ref,SE065766,Long,-1.901896,Lat,54.185134,,,,,,,
Station no,3374/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.84,4.59,1.32,3.89,3.52,5.06,7.45,6.04,5.56,7.84,,
February,4.94,0.89,4.30,2.27,2.34,2.18,4.98,6.88,0.77,5.60,,
March,4.40,4.85,1.07,3.49,2.05,1.71,4.37,2.48,3.27,2.90,,
April,3.50,2.38,4.27,1.25,1.07,1.95,0.43,1.33,5.56,3.88,,
May,6.80,2.27,2.47,5.29,4.86,1.34,2.44,6.12,1.42,2.00,,
June,1.46,2.17,3.57,2.70,2.50,3.37,1.45,3.94,2.16,2.28,,
July,1.93,1.63,5.64,3.15,1.16,5.26,4.10,5.34,3.12,7.67,,
August,5.45,5.46,4.67,6.55,1.76,9.19,6.99,4.03,1.01,4.03,,
September,3.31,5.37,4.69,5.35,2.60,4.23,5.36,6.43,0.27,4.26,,
October,2.31,5.53,2.58,9.23,2.64,3.23,6.13,5.14,6.60,8.09,,
November,12.17,2.87,5.06,10.08,3.27,1.18,3.10,1.53,8.76,10.55,,
December,10.21,4.71,2.47,4.40,8.52,6.26,5.30,6.28,12.22,7.27,,
Total,61.32,42.72,42.11,57.65,36.29,44.96,52.10,55.54,50.72,66.37,,
Calc annual,61.32,42.72,42.11,57.65,36.29,44.96,52.10,55.54,50.72,66.37,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
